16, 0.0311263, 100, 4.11811, 1, 0.773805, 1 
68, 0.0127782, 900, 5.80538, 0, 5.12315, 1 
54, 0.0488192, 0, 2.34376, 1, 0.95496, 1 
47, 0.0242458, 700, 3.65533, 2, 1.23912, 1 
16, 0.0311263, 100, 4.11811, 1, 0.773805, 1 
9, 0.0294881, 700, 4.1915, 2, 3.25769, 1 
7, 0.0111399, 300, 4.6463, 1, 3.63396, 1 
29, 0.0255563, 400, 3.41728, 1, 1.23912, 1 
2, 0.0560274, 600, 3.56776, 2, 2.72276, 1 
3, 0.0527509, 600, 2.25538, 1, 1.717, 1 
6, 0.0399727, 400, 4.0992, 3, 3.68927, 1 
88, 0.0648738, 300, 2.78638, 2, 0.743528, 1 
41, 0.0340751, 600, 3.76456, 0, 2.68627, 1 
77, 0.0475086, 800, 1.44921, 2, 1.31187, 1 
91, 0.046198, 800, 1.87128, 2, 0.55388, 1 
33, 0.0226075, 900, 2.54163, 1, 1.61833, 1 
16, 0.0311263, 100, 4.11811, 1, 3.95253, 1 
30, 0.0311263, 400, 6.33312, 1, 4.38718, 1 
94, 0.0199864, 100, 3.12179, 1, 0.880652, 1 
17, 0.0255563, 600, 3.07287, 1, 2.51631, 1 
25, 0.0229352, 500, 2.5149, 1, 1.6487, 1 
26, 0.0593038, 0, 4.36621, 3, 2.68627, 1 
10, 0.025884, 500, 4.57254, 1, 3.57238, 1 
28, 0.0432492, 600, 3.38976, 1, 2.75149, 1 
47, 0.0242458, 700, 4.47018, 2, 1.23912, 1 
57, 0.0226075, 900, 4.52329, 1, 1.61833, 1 
46, 0.0386622, 300, 5.49805, 1, 0.95496, 1 
95, 0.0311263, 600, 3.08018, 0, 2.99656, 1 
26, 0.0593038, 0, 4.36621, 3, 0.55388, 1 
41, 0.0340751, 600, 4.67144, 1, 3.05872, 1 
77, 0.0475086, 800, 1.44921, 2, 0.859893, 1 
9, 0.0294881, 700, 4.1915, 2, 3.25769, 1 
26, 0.0593038, 0, 4.36621, 2, 0.55388, 1 
77, 0.0475086, 800, 1.44921, 2, 0.859893, 1 
46, 0.0386622, 300, 5.49805, 1, 3.86833, 1 
54, 0.0488192, 0, 4.43669, 2, 2.99656, 1 
5, 0.0733926, 800, 3.99189, 4, 1.25922, 1 
72, 0.072082, 200, 2.63131, 2, 1.24802, 1 
99, 0.0501297, 500, 3.87112, 1, 3.58949, 1 
2, 0.0560274, 600, 3.56776, 2, 3.21427, 1 
54, 0.0488192, 0, 4.43669, 2, 0.95496, 1 
95, 0.0311263, 600, 4.57423, 2, 3.86833, 1 
5, 0.0733926, 800, 3.99189, 4, 3.69496, 1 
92, 0.0383345, 900, 8.30762, 1, 3.25769, 1 
7, 0.0111399, 300, 4.6463, 1, 3.63396, 1 
29, 0.0255563, 400, 7.57359, 1, 1.23912, 1 
2, 0.0560274, 600, 3.56776, 3, 2.18006, 1 
23, 0.067495, 100, 3.95917, 4, 0.743528, 1 
23, 0.067495, 100, 3.95917, 4, 1.717, 1 
88, 0.0648738, 300, 4.08433, 2, 2.26338, 1 
57, 0.0226075, 900, 4.52329, 1, 1.61833, 1 
66, 0.0167099, 0, 5.57914, 1, 5.12315, 1 
46, 0.0386622, 300, 5.60404, 2, 0.95496, 1 
95, 0.0311263, 600, 4.57423, 2, 2.99656, 1 
6, 0.0399727, 400, 4.0992, 3, 0.671735, 1 
70, 0.0337475, 100, 3.66142, 1, 2.82107, 1 
81, 0.0501297, 800, 3.47705, 1, 0.995736, 1 
10, 0.025884, 500, 4.57254, 2, 3.57238, 1 
28, 0.0432492, 600, 3.38976, 2, 2.75149, 1 
80, 0.0347304, 500, 3.3625, 2, 1.6487, 1 
2, 0.0560274, 600, 3.56776, 3, 2.18006, 1 
3, 0.0527509, 600, 4.5985, 2, 2.26338, 1 
23, 0.067495, 100, 3.95917, 4, 0.743528, 1 
56, 0.0108123, 200, 7.24759, 0, 4.34409, 1 
43, 0.0370239, 600, 3.48771, 1, 1.37644, 1 
2, 0.0560274, 600, 3.56776, 3, 2.72276, 1 
3, 0.0527509, 600, 3.45725, 2, 1.717, 1 
6, 0.0399727, 400, 4.0992, 3, 3.68927, 1 
88, 0.0648738, 300, 4.19381, 3, 0.743528, 1 
